point1.x,point1.y,point2.x,point2.y
245.405,944.934,229.364,932.396
243.319,998.268,258.321,975.767
242.38,788.277,268.959,724.214
268.959,724.214,264.3,716.255
247.824,54.4533,229.727,29.2623
247.824,54.4533,261.028,72.8323
253.439,86.5378,261.028,72.8323
223.539,204.186,236.748,194.604
223.539,204.186,221.118,205.943
252.074,198.44,236.748,194.604
252.074,198.44,262.728,201.106
260.931,217.929,262.728,201.106
266.267,36.1455,235.349,11.3378
269.967,60.7398,266.267,36.1455
261.028,72.8323,269.967,60.7398
258.353,252.527,233.406,245.917
258.353,252.527,259.841,252.921
255.704,285.979,261.598,254.664
261.598,254.664,259.841,252.921
257.278,168.259,239.336,165.352
257.278,168.259,272.16,170.67
262.728,201.106,273.371,192.265
273.371,192.265,272.16,170.67
234.531,852.658,255.667,841.412
234.531,852.658,231.297,854.379
269.648,858.497,255.667,841.412
269.089,860.896,269.648,858.497
252.238,869.203,269.089,860.896
252.238,869.203,237.492,876.472
269.621,899.738,269.089,860.896
269.022,901.182,269.621,899.738
259.265,139.074,234.569,137.154
259.265,139.074,275.141,140.308
272.16,170.67,284.647,155.448
284.647,155.448,278.91,142.343
233.296,516.472,271.978,500.235
233.296,516.472,213.954,524.591
273.505,548.224,286.752,545.115
286.752,545.115,271.978,500.235
245.225,226.693,260.931,217.929
245.225,226.693,235.136,232.322
259.841,252.921,271.519,228.136
271.519,228.136,260.931,217.929
257.363,790.904,243.939,789.788
268.81,828.099,267.09,807.52
267.09,807.52,257.363,790.904
274.927,139.839,254.432,94.8526
274.927,139.839,275.141,140.308
258.032,549.712,273.505,548.224
258.032,549.712,237.168,551.718
226.393,394.903,262.418,365.554
226.393,394.903,224.126,396.751
293.563,398.156,262.418,365.554
287.112,420.122,293.563,398.156
280.455,781.601,297.829,758.694
287.815,743.3,268.959,724.214
297.829,758.694,287.815,743.3
263.672,601.501,269.547,604.032
259.741,561.75,273.505,548.224
259.741,561.75,248.727,572.574
298.059,558.551,286.752,545.115
269.547,604.032,295.958,579.719
297.965,572.973,298.059,558.551
295.958,579.719,297.965,572.973
249.573,288.438,255.704,285.979
249.573,288.438,241.864,291.53
267.977,287.61,255.704,285.979
267.977,287.61,285.089,289.883
285.049,290.3,285.089,289.883
267.804,945.519,245.405,944.934
267.804,945.519,286.231,946.001
290.253,971.682,286.231,946.001
263.743,307.08,285.049,290.3
263.743,307.08,239.617,326.08
285.158,294.388,285.049,290.3
255.9,903.738,269.022,901.182
255.9,903.738,239.111,907.007
297.368,921.575,269.022,901.182
286.231,946.001,297.368,921.575
274.767,257.761,261.598,254.664
274.767,257.761,305.515,264.992
285.089,289.883,306.515,268.479
306.515,268.479,305.515,264.992
216.654,1359.75,243.319,998.268
216.654,1359.75,-2.24738e+06,3.04708e+07
267.158,974.636,290.253,971.682
267.158,974.636,258.321,975.767
298.541,979.396,290.253,971.682
301.877,990.078,298.541,979.396
309.093,1034.87,301.877,990.078
339.708,1583.97,309.093,1034.87
289.089,18.6188,228.327,-120.814
289.334,24.5758,289.089,18.6188
277.69,228.785,271.519,228.136
277.69,228.785,303.912,231.543
308.08,243.839,303.912,231.543
305.515,264.992,308.08,243.839
275.141,140.308,278.91,142.343
284.929,115.092,254.495,94.469
284.929,115.092,291.26,119.383
278.91,142.343,291.26,119.383
267.457,316.178,285.158,294.388
267.457,316.178,250.786,336.699
295.583,333.49,285.158,294.388
285.793,340.972,295.583,333.49
276.275,807.553,267.09,807.52
276.275,807.553,285.649,807.586
287.565,818.339,285.649,807.586
262.493,788.838,280.455,781.601
262.493,788.838,257.363,790.904
285.649,807.586,287.437,800.882
287.437,800.882,280.455,781.601
293.599,201.968,273.371,192.265
293.599,201.968,307.129,208.459
303.912,231.543,307.129,208.459
258.796,835.04,268.81,828.099
258.796,835.04,256.965,836.309
271.598,827.843,268.81,828.099
287.793,840.364,271.598,827.843
287.793,840.364,300.247,849.992
282.948,856.885,298.176,851.807
298.176,851.807,300.247,849.992
279.062,857.356,282.948,856.885
279.062,857.356,269.648,858.497
287.689,883.514,282.948,856.885
288.446,91.5152,253.588,86.8156
288.446,91.5152,297.19,92.694
291.26,119.383,296.819,116.346
299.693,108.223,297.19,92.694
296.819,116.346,299.693,108.223
274.042,32.2458,289.334,24.5758
274.042,32.2458,266.267,36.1455
303.832,33.0812,289.334,24.5758
303.832,33.0812,328.971,47.8298
311.265,59.5859,328.971,47.8298
276.244,825.078,287.565,818.339
276.244,825.078,271.598,827.843
295.979,821.344,287.565,818.339
295.979,821.344,322.365,830.768
300.247,849.992,314.779,843.92
314.779,843.92,322.365,830.768
295.944,878.992,298.176,851.807
287.441,60.2515,311.265,59.5859
287.441,60.2515,269.967,60.7398
297.19,92.694,301.729,87.6541
301.729,87.6541,311.265,59.5859
300.513,157.699,284.647,155.448
300.513,157.699,307.362,158.671
328.228,187.792,307.362,158.671
307.129,208.459,328.228,187.792
261.324,438.443,287.112,420.122
261.324,438.443,253.369,444.095
318.028,442.621,287.112,420.122
304.044,486.072,318.028,442.621
297.474,802.042,287.437,800.882
297.474,802.042,314.7,804.033
326.559,827.32,314.7,804.033
322.365,830.768,326.559,827.32
332.467,-14.6749,335.785,-72.9251
335.785,-72.9251,253.59,-1917.92
309.52,763.025,297.829,758.694
314.7,804.033,309.52,763.025
282.578,888.103,287.689,883.514
282.578,888.103,269.621,899.738
288.391,883.129,295.944,878.992
288.391,883.129,287.689,883.514
304.763,881.861,295.944,878.992
304.763,881.861,329.444,889.89
332.843,894.625,329.444,889.89
340.864,915.16,332.843,894.625
275.485,345.664,285.793,340.972
275.485,345.664,263.802,350.982
308.632,367.628,285.793,340.972
308.632,367.628,313.069,372.807
307.77,392.893,313.069,372.807
313.624,128.341,296.819,116.346
313.624,128.341,322.177,134.446
307.362,158.671,322.177,134.446
317.969,331.257,323.513,328.454
323.513,328.454,339.302,318.85
320.797,277.881,306.515,268.479
339.302,318.85,320.797,277.881
297.07,12.4936,332.467,-14.6749
297.07,12.4936,289.089,18.6188
328.971,47.8298,332.831,47.0903
336.435,34.9222,332.467,-14.6749
332.831,47.0903,336.435,34.9222
329.444,889.89,314.779,843.92
284.298,490.159,277.15,491.28
310.481,525.522,284.298,490.159
310.481,525.522,322.528,541.793
298.937,921.344,340.864,915.16
298.937,921.344,297.368,921.575
347.686,918.969,340.864,915.16
349.141,934.583,351.862,928.177
351.862,928.177,347.686,918.969
303.558,332.694,317.969,331.257
303.558,332.694,295.583,333.49
313.069,372.807,319.035,365.393
319.035,365.393,317.969,331.257
295.63,487.814,304.044,486.072
295.63,487.814,284.298,490.159
321.092,492.082,304.044,486.072
322.528,541.793,324.192,540.855
324.192,540.855,330.834,503.697
330.834,503.697,321.092,492.082
333.369,606.331,295.958,579.719
333.369,606.331,337.455,609.238
326.428,665.818,327.277,665.382
336.611,643.788,337.455,609.238
327.277,665.382,336.611,643.788
318.003,95.3893,301.729,87.6541
318.003,95.3893,321.179,96.8993
321.229,106.541,321.179,96.8993
312.485,107.224,321.229,106.541
312.485,107.224,299.693,108.223
329.905,116.159,321.229,106.541
329.905,116.159,338.715,125.926
322.177,134.446,338.715,125.926
311.087,666.214,326.428,665.818
311.087,666.214,281.184,666.986
336.482,712.506,326.428,665.818
321.179,96.8993,350.722,66.3725
350.722,66.3725,332.831,47.0903
298.988,396.146,307.77,392.893
298.988,396.146,293.563,398.156
328.61,397.558,307.77,392.893
328.61,397.558,342.471,400.661
347.378,403.612,342.471,400.661
347.378,403.612,347.643,403.772
339.187,436.167,347.643,403.772
313.777,726.873,336.482,712.506
313.777,726.873,287.815,743.3
342.057,722.091,336.482,712.506
338.498,759.349,342.057,722.091
308.024,970.998,349.141,934.583
308.024,970.998,298.541,979.396
343.645,970.566,346.971,967.066
346.971,967.066,349.141,934.583
328.948,365.594,319.035,365.393
328.948,365.594,333.619,365.688
342.471,400.661,337.065,366.605
333.376,364.792,323.513,328.454
333.376,364.792,333.619,365.688
321.532,761.501,338.498,759.349
321.532,761.501,309.52,763.025
366.923,821.558,378.401,817.772
360.61,771.47,338.498,759.349
360.61,771.47,369.809,776.512
378.401,817.772,369.809,776.512
338.715,125.926,356.953,124.704
370.554,80.2599,350.722,66.3725
356.953,124.704,370.554,80.2599
327.399,978.156,343.645,970.566
